state,murders
Alabama,2.824
Alaska,2.675
Arizona,3.630
Arkansas,3.189
California,3.374
Colorado,1.292
Connecticut,2.714
Delaware,4.232
Florida,3.398
Georgia,3.790
Hawaii,0.515
Idaho,0.766
Illinois,2.837
Indiana,2.190
Iowa,0.689
Kansas,2.208
Kentucky,2.673
Louisiana,7.743
Maine,0.828
Maryland,5.075
Massachusetts,1.802
Michigan,4.179
Minnesota,0.999
Mississippi,4.044
Missouri,5.360
Montana,1.213
Nebraska,1.752
Nevada,3.110
New Hampshire,0.380
New Jersey,2.798
New Mexico,3.254
New York,2.668
North Carolina,2.999
North Dakota,0.595
Ohio,2.687
Oklahoma,2.959
Oregon,0.940
Pennsylvania,3.598
Rhode Island,1.520
South Carolina,4.475
South Dakota,0.983
Tennessee,3.451
Texas,3.201
Utah,0.796
Vermont,0.320
Virginia,3.125
Washington,1.383
West Virginia,1.457
Wisconsin,1.706
Wyoming,0.887
