Team,Won,Tie,Lost,Scored,Conceded,Ranking,Points,Millions
Juventus,17,7,1,52,14,1,58,118
Roma,13,10,2,33,19,2,49,98
Milan,8,10,7,35,30,10,34,94
Inter,9,8,8,39,32,9,35,70
Napoli,13,6,6,44,31,3,45,70
Fiorentina,11,9,5,37,24,5,42,56
Lazio,13,4,8,43,27,4,43,55.1
Palermo,8,10,7,38,39,11,34,30
Sampdoria,10,12,4,34,28,6,42,28
Sassuolo,6,11,8,29,38,12,29,28
Genoa,9,9,6,36,29,7,36,27.4
Torino,9,9,7,28,25,8,36,27
Udinese,7,7,10,26,32,13,28,26
Atalanta,5,8,12,22,37,17,23,24
Parma,3,2,18,20,47,20,10,20.5
Verona,7,7,11,29,44,15,28,20.5
Chievo,6,7,12,18,30,16,25,18.3
Cagliari,4,8,14,32,49,18,20,16
Cesena,4,7,14,24,47,19,19,11.2
Empoli,5,13,7,25,27,14,28,11
